"Name","GlobalID","Level","TID","InfoTID","DisableProduction","SpellForgeLevel","LaboratoryLevel","HousingSpace","DeployTimeMS","ChargingTimeMS","HitTimeMS","UpgradeTimeH","UpgradeResource","UpgradeCost","BoostTimeMS","SpeedBoost","SpeedBoost2","HousingLimit","JumpBoostMS","DamageBoostPercent","BuildingDamageBoostPercent","Damage","TroopDamagePermil","BuildingDamagePermil","ExecuteHealthPermil","DamagePermilMin","PreferredDamagePermilMin","Radius","NumberOfHits","RandomRadius","TimeBetweenHitsMS","IconSWF","IconExportName","BigPicture","PreDeployEffect","DeployEffect","DeployEffect2Delay","DeployEffect2","ChargingEffect","HitEffect","RandomRadiusAffectsOnlyGfx","FreezeTimeMS","SpawnObstacle","NumObstacles","StrengthWeight","ProductionBuilding","TargetInfoString","PreferredTarget","PreferredTargetDamageMod","HeroDamageMultiplier","GuardianDamageMultiplier","ShieldProjectileSpeed","ShieldProjectileDamageMod","ExtraHealthPermil","ExtraHealthMin","ExtraHealthMax","PoisonDPS","PoisonIncreaseSlowly","AttackSpeedBoost","BoostLinkedToPoison","PoisonAffectAir","ScaleDeployEffects","ImmortalTime","ShieldTime","ShieldProtectionPercent","EnemyDeployEffect","SnapToGrid","DuplicateHousing","DuplicateLifetime","SummonTroop","UnitsToSpawn","SpawnUpgradeLevel","ShrinkReduceSpeedRatio","ShrinkHitpointsRatio","SpawnDuration","SpawnFirstGroupSize","DamageTHPercent","DisableDonate","ScaleByTH","EnabledByCalendar","VillageType","PauseCombatComponentsMs","UpgradeLevelByTH","ChangeTeamTime","InvisibilityTime","FreezeOuterTimeMS","ConeAngle","FreezePercent","MinRadius","MinDamage","StunTimeMS","GiveSpecialAbility","GivenSpecialAbilityLevel","TornadoForce1","TornadoForce2","TornadoForce3","TornadoForce4","TornadoForce5","TornadoForceAir1","TornadoForceAir2","TornadoForceAir3","TornadoForceAir4","TornadoForceAir5","TornadoRotationSpeed","TornadoSpeedTowardsCenter","TornadoInnerRadius","TornadoInnerForcePercent","TornadoOuterForcePercent","ChainSpell","ChainSpellLevel","BoostDefenders","ImmunitySiegeMachines","ImmunityHeroes","ImmunityOtherCharacters","ImmunityTH_CC","ImmunityStorages","ImmunityWalls","ImmunityOtherBuildings","ImmunityTotems","ImmunityGuardians","HideImmunityVFX","CapitalAttackCount","DestroyWalls","RecallHousing","PreviewScenario","TombStone","NumTombStones","Overgrowth","TargetingRadius","TargetedProjectile","TargetedAgainEffect","MasterAura","ResurrectHitpointPercentage","EndEffect","StatBars","NoClipping","DebrisProjectileFindNewTarget","DebrisProjectileCenter","DebrisProjectileCenterNearestBuilding","DebrisCountLimit","DoesNotAffectOwner"
,,10,,,,,13,,,,,168,,13500000,,,,,,,,600,,,,,,200,1,0,400,,,,,,,,,,,100,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,14,,,,,240,,18500000,,,,,,,,640,,,,,,200,1,0,400,,,,,,,,,,,100,,,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,15,,,,,336,,27000000,,,,,,,,680,,,,,,200,1,0,400,,,,,,,,,,,100,,,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,,,,,16,,,,,,,,,,,,,,,720,,,,,,200,1,0,400,,,,,,,,,,,100,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Healing",26000001,1,"TID_HEALING_WAVE","TID_HEALING_WAVE_INFO",,2,2,2,800,300,400,3,"Elixir",75000,,,,,,,,-15,,,,,,500,41,200,300,"sc/ui.sc","icon_spell_healing","icon_spell_healing","Heal predeploy","Heal area",,"Heal area top",,"Heal spell","TRUE",,,,900,"Spell Factory","TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,"SpellHeal",,,,,,,,,,"Heal;HeroHeal;DamageType;HousingSpace;TargetType;SpellTime",,,,,,
,,2,,,,,2,,,,,6,,150000,,,,,,,,-20,,,,,,500,41,200,300,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,4,,,,,12,,300000,,,,,,,,-25,,,,,,500,41,200,300,,,,,,,,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,5,,,,,24,,900000,,,,,,,,-30,,,,,,500,41,200,300,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,6,,,,,36,,1800000,,,,,,,,-35,,,,,,500,41,200,300,,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,7,,,,,72,,3000000,,,,,,,,-40,,,,,,500,41,200,300,,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,8,,,,,120,,6000000,,,,,,,,-45,,,,,,500,41,200,300,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,11,,,,,156,,11000000,,,,,,,,-50,,,,,,500,41,200,300,,,,,,,,,,,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,13,,,,,168,,14000000,,,,,,,,-55,,,,,,500,41,200,300,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,14,,,,,252,,19000000,,,,,,,,-60,,,,,,500,41,200,300,,,,,,,,,,,,,,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,15,,,,,360,,29000000,,,,,,,,-67,,,,,,500,41,200,300,,,,,,,,,,,,,,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,16,,,,,,,,,,,,,,,-75,,,,,,500,41,200,300,,,,,,,,,,,,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rage",26000002,1,"TID_HASTE","TID_HASTE_INFO",,3,3,2,800,300,400,6,"Elixir",400000,1000,20,10,,,130,,,,,,,,500,60,400,300,"sc/ui.sc","icon_spell_rage","icon_spell_rage","Rage predeploy","Rage deploy",,"Rage deploy top",,,"TRUE",,,,900,"Spell Factory","TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,"TRUE",,,,,,"SpellRage",,,,,,,,,,"Damage;MovementSpeed;DamageType;HousingSpace;TargetType;SpellTimeExtraTick",,,,,,
,,2,,,,,3,,,,,12,,800000,1000,22,11,,,140,,,,,,,,500,60,400,300,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,4,,,,,24,,1000000,1000,24,12,,,150,,,,,,,,500,60,400,300,,,,,,,,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,5,,,,,48,,2000000,1000,26,13,,,160,,,,,,,,500,60,400,300,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,6,,,,,96,,5000000,1000,28,14,,,170,,,,,,,,500,60,400,300,,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,10,,,,,336,,26000000,1000,30,15,,,180,,,,,,,,500,60,400,300,,,,,,,,,,,,,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,16,,,,,,,,1000,32,16,,,190,,,,,,,,500,60,400,300,,,,,,,,,,,,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jump",26000003,1,"TID_JUMP_SPELL","TID_JUMP_SPELL_INFO",,4,4,2,800,300,400,24,"Elixir",1000000,,,,,400,,,,,,,,,350,81,400,250,"sc/ui.sc","icon_spell_jump","icon_spell_jump","Jump predeploy","Jump deploy lvl1",,"Jump deploy top lvl1",,,"TRUE",,,,1200,"Spell Factory","TID_INFO_TARGET_TYPE_GROUND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,"TRUE",,,,,,"SpellJump",,,,,,,,,,,,,,,,
,,2,,,,,5,,,,,48,,2000000,,,,,400,,,,,,,,,350,161,400,250,,,,"Jump predeploy","Jump deploy lvl2",,"Jump deploy top lvl2",,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,8,,,,,96,,5000000,,,,,400,,,,,,,,,350,241,400,250,,,,"Jump predeploy","Jump deploy lvl3",,"Jump deploy top lvl3",,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,11,,,,,120,,8000000,,,,,400,,,,,,,,,350,321,400,250,,,,"Jump predeploy","Jump deploy lvl4",,"Jump deploy top lvl4",,,,,,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,13,,,,,,,,,,,,400,,,,,,,,,350,401,400,250,,,,"Jump predeploy","Jump deploy lvl5",,"Jump deploy top lvl5",,,,,,,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Freeze",26000005,1,"TID_FREEZE_SPELL","TID_FREEZE_SPELL_INFO",,4,7,1,800,300,400,24,"Elixir",1200000,,,,,,,,,,,,,,350,1,400,0,"sc/ui.sc","icon_spell_freeze","icon_spell_freeze","Freeze predeploy","Freeze deploy lvl1",,"Freeze deploy2 lvl1",,,"TRUE",2500,,,1100,"Spell Factory","TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellFreeze",,,,,,,,,,,,,,,,
,,2,,,,,7,,,,,36,,1700000,,,,,,,,,,,,,,350,1,400,0,,,,,"Freeze deploy lvl2",,"Freeze deploy2 lvl2",,,,3000,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,8,,,,,48,,3000000,,,,,,,,,,,,,,350,1,400,0,,,,,"Freeze deploy lvl3",,"Freeze deploy2 lvl3",,,,3500,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,8,,,,,60,,4200000,,,,,,,,,,,,,,350,1,400,0,,,,,"Freeze deploy lvl4",,"Freeze deploy2 lvl4",,,,4000,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,8,,,,,84,,6000000,,,,,,,,,,,,,,350,1,400,0,,,,,"Freeze deploy lvl5",,"Freeze deploy2 lvl5",,,,4500,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,9,,,,,120,,7000000,,,,,,,,,,,,,,350,1,400,0,,,,,"Freeze deploy lvl6",,"Freeze deploy2 lvl6",,,,5000,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,10,,,,,372,,28000000,,,,,,,,,,,,,,350,1,400,0,,,,,"Freeze deploy lvl7",,"Freeze deploy2 lvl7",,,,5500,,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,16,,,,,,,,,,,,,,,,,,,,,350,1,400,0,,,,,"Freeze deploy lvl8",,"Freeze deploy2 lvl8",,,,6000,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clone",26000016,1,"TID_DUPLICATE_SPELL","TID_DUPLICATE_SPELL_INFO",,5,1,3,800,300,400,24,"Elixir",1500000,,,,,,,,,,,,,,350,60,200,300,"sc/ui.sc","icon_spell_clone","icon_spell_clone","Clone_Predeploy","Clone deploy",,"Clone deploy top",,,"TRUE",,,,1200,"Spell Factory","TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,,,,,,,,22,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,"TRUE",,,,,,"SpellBooster",,,,,,,,,,"SpellTime;DuplicateCapacity;DuplicateDuration;DamageType;TargetType;HousingSpace",,,,,,
,,2,,,,,8,,,,,48,,2500000,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,8,,,,,54,,3000000,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,9,,,,,60,,4000000,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,9,,,,,96,,5000000,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,11,,,,,120,,8000000,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,1800,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,12,,,,,168,,9000000,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,1900,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,13,,,,,324,,26000000,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,2300,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Invisibility",26000035,1,"TID_INVISIBILITY_SPELL","TID_INVISIBILITY_SPELL_INFO",,6,1,1,800,300,400,72,"Elixir",5000000,,,,,,,,,,,,,,400,14,200,250,"sc/ui.sc","icon_spell_invisibility","icon_spell_invisibility","Invisibility_Predeploy","Invisibility area lvl1",,,,,"TRUE",,,,1500,"Spell Factory","TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,"TRUE",,,,,,,,"SpellInvisibility",,,,,,,,,,,,,,,,
,,2,,,,,9,,,,,96,,6000000,,,,,,,,,,,,,,,15,,,,,,,"Invisibility area lvl2",,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,10,,,,,120,,7000000,,,,,,,,,,,,,,,16,,,,,,,"Invisibility area lvl3",,,,,,,,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,11,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,"Invisibility area lvl4",,,,,,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Recall",26000053,1,"TID_SPELL_RECALL","TID_SPELL_RECALL_INFO",,7,1,2,800,0,100,168,"Elixir",7500000,0,0,0,,,,,0,,,,,,500,1,200,100,"sc/ui.sc","icon_spell_recall","icon_spell_recall","Recall_Predeploy","RecallDeployAuraGround",,"RecallDeployAuraTop",,,"TRUE",,,,1700,"Spell Factory","TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,"TRUE",,,,,83,"SpellRecall",,,,,,,,,,,,,,,,
